codepoint,status,emoji,name,group,sub_group
1F6B4 1F3FD 200D 2640 FE0F,fully-qualified,🚴🏽‍♀️,woman biking: medium skin tone,People & Body,person-sport
1F6B4 1F3FD 200D 2640,minimally-qualified,🚴🏽‍♀,woman biking: medium skin tone,People & Body,person-sport
1F6B4 1F3FE 200D 2640 FE0F,fully-qualified,🚴🏾‍♀️,woman biking: medium-dark skin tone,People & Body,person-sport
1F6B4 1F3FE 200D 2640,minimally-qualified,🚴🏾‍♀,woman biking: medium-dark skin tone,People & Body,person-sport
1F6B4 1F3FF 200D 2640 FE0F,fully-qualified,🚴🏿‍♀️,woman biking: dark skin tone,People & Body,person-sport
1F6B4 1F3FF 200D 2640,minimally-qualified,🚴🏿‍♀,woman biking: dark skin tone,People & Body,person-sport
1F6B5,fully-qualified,🚵,person mountain biking,People & Body,person-sport
1F6B5 1F3FB,fully-qualified,🚵🏻,person mountain biking: light skin tone,People & Body,person-sport
1F6B5 1F3FC,fully-qualified,🚵🏼,person mountain biking: medium-light skin tone,People & Body,person-sport
1F6B5 1F3FD,fully-qualified,🚵🏽,person mountain biking: medium skin tone,People & Body,person-sport
1F6B5 1F3FE,fully-qualified,🚵🏾,person mountain biking: medium-dark skin tone,People & Body,person-sport
1F6B5 1F3FF,fully-qualified,🚵🏿,person mountain biking: dark skin tone,People & Body,person-sport
1F6B5 200D 2642 FE0F,fully-qualified,🚵‍♂️,man mountain biking,People & Body,person-sport
1F6B5 200D 2642,minimally-qualified,🚵‍♂,man mountain biking,People & Body,person-sport
1F6B5 1F3FB 200D 2642 FE0F,fully-qualified,🚵🏻‍♂️,man mountain biking: light skin tone,People & Body,person-sport
1F6B5 1F3FB 200D 2642,minimally-qualified,🚵🏻‍♂,man mountain biking: light skin tone,People & Body,person-sport
1F6B5 1F3FC 200D 2642 FE0F,fully-qualified,🚵🏼‍♂️,man mountain biking: medium-light skin tone,People & Body,person-sport
1F6B5 1F3FC 200D 2642,minimally-qualified,🚵🏼‍♂,man mountain biking: medium-light skin tone,People & Body,person-sport
1F6B5 1F3FD 200D 2642 FE0F,fully-qualified,🚵🏽‍♂️,man mountain biking: medium skin tone,People & Body,person-sport
1F6B5 1F3FD 200D 2642,minimally-qualified,🚵🏽‍♂,man mountain biking: medium skin tone,People & Body,person-sport
1F6B5 1F3FE 200D 2642 FE0F,fully-qualified,🚵🏾‍♂️,man mountain biking: medium-dark skin tone,People & Body,person-sport
1F6B5 1F3FE 200D 2642,minimally-qualified,🚵🏾‍♂,man mountain biking: medium-dark skin tone,People & Body,person-sport
1F6B5 1F3FF 200D 2642 FE0F,fully-qualified,🚵🏿‍♂️,man mountain biking: dark skin tone,People & Body,person-sport
1F6B5 1F3FF 200D 2642,minimally-qualified,🚵🏿‍♂,man mountain biking: dark skin tone,People & Body,person-sport
1F6B5 200D 2640 FE0F,fully-qualified,🚵‍♀️,woman mountain biking,People & Body,person-sport
1F6B5 200D 2640,minimally-qualified,🚵‍♀,woman mountain biking,People & Body,person-sport
1F6B5 1F3FB 200D 2640 FE0F,fully-qualified,🚵🏻‍♀️,woman mountain biking: light skin tone,People & Body,person-sport
